request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,10560632.230000027,affordable_later,wait,none,2025-08-08,none,Decision is affordable_later with recommendation wait.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.0,2026-07-05,none,Decision is affordable_now with recommendation full_payment.
request_28,0.0,affordable_later,wait,none,2024-08-15,none,Decision is affordable_later with recommendation wait.
request_29,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_30,775.2,affordable_now,full_payment,2026-04-06:775.2,2026-04-06,none,Decision is affordable_now with recommendation full_payment.
request_31,0.0,affordable_later,wait,none,2024-10-15,none,Decision is affordable_later with recommendation wait.
request_32,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_33,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.0,2024-12-04,none,Decision is affordable_now with recommendation full_payment.
request_35,0.0,affordable_later,wait,none,2026-01-15,none,Decision is affordable_later with recommendation wait.
request_36,0.0,affordable_later,wait,none,2026-09-15,none,Decision is affordable_later with recommendation wait.
request_37,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_38,0.0,affordable_later,wait,none,2025-09-15,none,Decision is affordable_later with recommendation wait.
request_39,0.0,affordable_later,wait,none,2026-06-15,none,Decision is affordable_later with recommendation wait.
request_40,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_41,0.0,affordable_later,wait,none,2026-01-15,none,Decision is affordable_later with recommendation wait.
request_42,0.0,affordable_later,wait,none,2026-03-15,none,Decision is affordable_later with recommendation wait.
request_43,0.0,affordable_later,wait,none,2024-10-15,none,Decision is affordable_later with recommendation wait.
request_44,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_45,0.0,affordable_later,wait,none,2026-09-15,none,Decision is affordable_later with recommendation wait.
request_46,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000.0,2025-05-05,none,Decision is affordable_now with recommendation full_payment.
request_48,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_49,0.0,affordable_later,wait,none,2024-04-15,none,Decision is affordable_later with recommendation wait.
request_50,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.0,2026-01-03,none,Decision is affordable_now with recommendation full_payment.
request_52,0.0,affordable_later,wait,none,2024-06-15,none,Decision is affordable_later with recommendation wait.
request_53,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_54,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
request_55,0.0,affordable_later,wait,none,2026-08-15,none,Decision is affordable_later with recommendation wait.
request_56,0.0,affordable_later,wait,none,2025-02-15,none,Decision is affordable_later with recommendation wait.
request_57,0.0,affordable_later,wait,none,2026-05-15,none,Decision is affordable_later with recommendation wait.
request_58,1420161.7999999858,affordable_later,wait,none,2025-01-15,none,Decision is affordable_later with recommendation wait.
request_59,140600.0,affordable_now,full_payment,2025-05-04:140600.0,2025-05-04,none,Decision is affordable_now with recommendation full_payment.
request_60,0.0,not_affordable,not_recommended,none,,none,Decision is not_affordable with recommendation not_recommended.
